customer_name,customer_email,customer_phone,wallet_balance
Kaylee Hall,kaylee.hall@hotmail.com,252.483.1227x41029,3449
Crystal Zimmerman,crystal.zimmerman@yahoo.com,001-642-935-8938x657,2738
Samantha Graham,samantha.graham@yahoo.com,671.502.4264,3923
Jennifer Ward,jennifer.ward@yahoo.com,932-207-2209x6429,8258
Alicia Perez,alicia.perez@gmail.com,943-626-6764,3227
Krista Williams,krista.williams@yahoo.com,(477)945-6778x85011,7434
Tanya Ho,tanya.ho@yahoo.com,736.213.1843,2186
Melanie Chaney,melanie.chaney@yahoo.com,602-630-4922,6588
Dominique Friedman,dominique.friedman@example.com,891.868.1090,8850
Elizabeth Johnson,elizabeth.johnson@example.com,476-909-9851,7538
Angela Crawford,angela.crawford@gmail.com,984-602-4711x608,1908
Shannon Patton,shannon.patton@yahoo.com,2589628990,5405
Frances Mitchell,frances.mitchell@hotmail.com,(772)589-9649x358,7901
Kristi Smith,kristi.smith@outlook.com,(300)449-7429,5914
Tonya Carey,tonya.carey@example.com,001-487-611-0905x7496,5664
Andrea Torres,andrea.torres@outlook.com,240-760-9358x8135,3099
Angela Davis,angela.davis@yahoo.com,(621)365-7632,1046
Emily Brown,emily.brown@yahoo.com,7703967331,7459
Leslie Spencer,leslie.spencer@example.com,751-826-0170x1369,8696
Destiny Love,destiny.love@gmail.com,498-852-4526x316,2829
Karen Glass,karen.glass@hotmail.com,(958)428-8826x17464,8853
Megan Parker,megan.parker@gmail.com,497.562.2563x540,4543
Amanda Burgess,amanda.burgess@gmail.com,279-671-8456x960,8253
Katherine Medina,katherine.medina@example.com,(686)792-2060x6180,5351
Jennifer Mcdonald,jennifer.mcdonald@gmail.com,530-685-4865x262,7667
Rebecca Gill,rebecca.gill@gmail.com,819-229-8561x2180,3714
Haley Fletcher,haley.fletcher@yahoo.com,(253)606-7633x358,7518
Miss Catherine Diaz,miss.catherine.diaz@yahoo.com,+1-996-304-6211x799,5554
Ms. Kimberly Snyder,ms..kimberly.snyder@example.com,4265592891,5898
Leslie Taylor,leslie.taylor@hotmail.com,414.765.7396x79153,3441
Ann Hernandez,ann.hernandez@yahoo.com,932-512-0692x03169,2608
Dana Swanson,dana.swanson@example.com,001-299-555-2413,4361
Elizabeth Vargas,elizabeth.vargas@outlook.com,464.651.4984,6026
Jamie Price,jamie.price@example.com,001-453-521-1432x67410,8817
Victoria Arroyo,victoria.arroyo@yahoo.com,001-567-755-4420x6251,4971
Mary Stein,mary.stein@outlook.com,483.357.4871x84206,2113
Donna Harris,donna.harris@yahoo.com,256.487.3726x0655,293
Barbara Bates,barbara.bates@example.com,001-958-256-1577x249,9041
Maria Acosta,maria.acosta@yahoo.com,(343)960-4397x019,5527
Barbara Burns,barbara.burns@hotmail.com,896-826-3574,9313
Laura Davis,laura.davis@yahoo.com,001-537-892-9490x99234,390
Kristina Price,kristina.price@hotmail.com,001-913-547-4181,967
Pamela Roman,pamela.roman@hotmail.com,(714)524-2260x580,157
Kathy Smith,kathy.smith@outlook.com,5969239373,5144
Patricia Norton,patricia.norton@outlook.com,9275136138,5759
Cynthia Hanson,cynthia.hanson@example.com,892.251.0998,815
Deanna Dorsey,deanna.dorsey@hotmail.com,235-566-1478x274,5525
Megan Miller,megan.miller@example.com,598.815.6076x916,6935
Mary Shepherd,mary.shepherd@hotmail.com,520-465-7194,784
Julia Brown,julia.brown@yahoo.com,001-733-812-2498x88416,2705
Erin Barton,erin.barton@outlook.com,(292)490-1885,4393
Stacy Newton,stacy.newton@yahoo.com,885.366.4979x11952,4778
Catherine Carroll,catherine.carroll@outlook.com,(617)339-8914,3794
Diana Mcguire,diana.mcguire@outlook.com,001-796-888-2820,3937
Sarah Harris,sarah.harris@example.com,732.592.7043x63162,8913
Stephanie Brooks,stephanie.brooks@yahoo.com,629.636.3913,5988
Lindsey Cameron,lindsey.cameron@example.com,(984)576-0722,311
Barbara Simmons,barbara.simmons@outlook.com,6853043917,4229
Ashley Elliott,ashley.elliott@yahoo.com,(790)845-1164x3890,6595
Melanie Harris,melanie.harris@outlook.com,735-702-9705x798,6684
Denise Mason,denise.mason@example.com,635-539-0283,3473
Veronica Wilson,veronica.wilson@outlook.com,+1-682-320-9051x6696,3078
Debra Frazier,debra.frazier@yahoo.com,836-407-7193x629,489
Peggy Warner,peggy.warner@gmail.com,478-480-6294x639,2339
Stacey Warner,stacey.warner@outlook.com,(988)736-0407,8306
Laura Rios,laura.rios@gmail.com,001-609-853-8841,1787
